ID,Name,Designator,Footprint,Quantity
27,100K,"R17, R21, R24, R27, R31, R32, R34, R37, R38, R43, R44, R45",805,12
5,100nF,"C10, C14, C15, C16, C17, C18, C22",805,7
7,100pF,"C27, C54",805,1
29,10K,"R46, R47, R48, R49, R50, R51, R52, R53, R54",805,9
25,1K,"R1, R2, R3, R4, R5, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R18, R23, R26, R28, R55, R56, R57, R58, R59",805,24
1,220nF,"C1, C3, C7, C19, C20, C21, C23, C25, C28",805,9
2,220pF,"C2, C4, C5, C6, C8, C24",805,6
28,470R,R41,805,1
3,47pF,"C9, C12",805,2
26,56K,"R6, R19, R20, R22, R25, R29, R30, R33, R35, R36, R39, R40, R42",805,13
4,56nF,"C11, C13",805,2
12,1N4148,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13",4148,13
13,1N5817,"D14, D15, D16, D18",5817,3
21,CV-in,"P12, P13, P19",2.54MM Female HEADER 1X2,3
23,PC-ins,P21,2.54MM Female HEADER 1X2,1
22,PC-outs,P18,2.54MM Female HEADER 1X2,1
17,Sync-in,"P1, P2, P3, P4, P5, P6, P10, P11, P20",2.54MM Female HEADER 1X2,9
34,556-1-out,U5,2.54MM Female HEADER 1X3,1
36,556-2-out,U8,2.54MM Female HEADER 1X3,1
39,Osc-1-sq-out,U11,2.54MM Female HEADER 1X3,1
38,Osc-2-sq-out,U10,2.54MM Female HEADER 1X3,1
37,Osc-3-sq-out,U9,2.54MM Female HEADER 1X3,1
40,Osc-4-sq-out,U12,2.54MM Female HEADER 1X3,1
41,Osc-5-sq-out,U13,2.54MM Female HEADER 1X3,1
43,Osc-6-sq-out,U15,2.54MM Female HEADER 1X3,1
33,Osc-7-sq-out,U4,2.54MM Female HEADER 1X3,1
47,100K,"VR1, VR2, VR3, VR4, VR5, VR6, VR8, VR9",9MM_SNAP-IN_POT,8
46,10K,"VR7, VR10",9MM_SNAP-IN_POT,2
48,1K,"VR24, VR25, VR27",9MM_SNAP-IN_POT,3
49,1M,VR28,9MM_SNAP-IN_POT,1
6,10u,C26,CAP_2.5MM,1
11,B-out,CN3,"Header Female 2x3, 2.54mm",1
10,G-out,CN2,"Header Female 2x3, 2.54mm",1
9,R-out,CN1,"Header Female 2x3, 2.54mm",1
50,Header-Female-2.54_2x4,"HSYNC, VSYNC",Header-Female-2.54_2x4,2
42,expansion-bus-B,U14,IDC Box 2.54mm 2X5P,1
19,IDC Box 2.54mm 2X5P,P8,IDC Box 2.54mm 2X5P,1
20,expansion-bus-A,P9,IDC Box 2.54mm 2X7P,1
18,HDR-IDC-2.54-2X8P,P7,IDC Box 2.54mm 2X8P,1
16,LED-3MM,LED1,LED-3MM/2.54,1
44,2.1MMJACKTHM,U24,PJ-102A,1
32,556,U3,SO-14-WIDE,1
30,40106,U1,SO14,1
35,TLV2774INE4,"U6, U7",SO14,2
31,4046,U2,SO16,1
15,SPDT,"G$1, G$2, G$3, G$4, G$5, G$6, G$7, G$8, G$9, G$10, G$11",SUBMINI_TOGGLE,11
45,7805,U25,TO-220-ALT,1
24,2N3904,Q1,TO-92V,1
