ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,JLCPCB Part Class,Package Display,SMT Type,description,image,link,subpart_no
1,100pF,"C26, C27",0805,2,CC0603JRNPO0BN820,YAGEO,Mouser,603-CC603JRNPO0BN820,,2,,PaulSHodge,,,,,,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,
2,1N5819,"D14, D15, D16, D17",SOD-123_L2.8-W1.8-LS3.7-RD,4,1N5819HWQ-7-F,Diodes Incorporated,LCSC,C460770,0.132,2,SOD-123_L2.8-W1.8-LS3.7-RD,LCSC,,,,,,https://item.szlcsc.com/301422.html,
3,100nF,"C10, C14, C15, C16, C17, C18, C22",0805,7,CC0603JRNPO0BN820,YAGEO,Mouser,603-CC603JRNPO0BN820,,2,,PaulSHodge,,,,,,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,
4,1K,"R1, R2, R3, R4, R5, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R18, R23, R26, R28, R55, R56, R57, R58, R59",0805,24,PTFR0805B130KN9,ResistorToday,LCSC,C351613,0.147,2,,LCSC,,,,,,,
5,56K,"R6, R19, R20, R22, R25, R29, R30, R33, R35, R36, R39, R40, R42",0805,13,PTFR0805B130KN9,ResistorToday,LCSC,C351613,0.147,2,,LCSC,,,,,,,
6,100K,"R17, R21, R24, R27, R31, R32, R34, R37, R38, R43, R44, R45",0805,12,PTFR0805B130KN9,ResistorToday,LCSC,C351613,0.147,2,,LCSC,,,,,,,
7,40106,U1,SO14,1,?,,,,,14,,,,,,,,,
8,47pF,"C9, C12",0805,2,CC0603JRNPO0BN820,YAGEO,Mouser,603-CC603JRNPO0BN820,,2,,PaulSHodge,,,,,,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,
9,56nF,"C11, C13",0805,2,CC0603JRNPO0BN820,YAGEO,Mouser,603-CC603JRNPO0BN820,,2,,PaulSHodge,,,,,,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,
10,220nF,"C1, C3, C7, C19, C20, C21, C23, C25, C28",0805,9,CC0603JRNPO0BN820,YAGEO,Mouser,603-CC603JRNPO0BN820,,2,,PaulSHodge,,,,,,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,
11,220pF,"C2, C4, C5, C6, C8, C24",0805,6,CC0603JRNPO0BN820,YAGEO,Mouser,603-CC603JRNPO0BN820,,2,,PaulSHodge,,,,,,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,
12,10K,"R46, R47, R48, R49, R50, R51, R52, R53, R54",0805,9,PTFR0805B130KN9,ResistorToday,LCSC,C351613,0.147,2,,LCSC,,,,,,,
13,4046,U2,SO16,1,?,,,,,16,,,,,,,,,
14,556,U3,SO-14-WIDE,1,?,,,,,14,,,,,,,,,
15,470R,R41,0805,1,PTFR0805B130KN9,ResistorToday,LCSC,C351613,0.147,2,,LCSC,,,,,,,
16,BC847,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,1,2n3904S-RTK/PS,KEC,LCSC,C18536,0.013,3,SOT-23-3P_L2.9-W1.3-H1.0-LS2.4-P0.95,lcsc,,,Extend,,//image.lceda.cn/szlcsc/C18536.jpg,https://item.szlcsc.com/70837.html,
17,10uF,C29,C0805,1,?,,,,,2,C0805_L2.0-W1.3-H1.3,SparkFun,,,,Capacitor,,https://item.szlcsc.com/373011.html,
18,Ferrite,F1,R0805,1,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,,https://item.szlcsc.com/142685.html,
19,1N4148W_C81598,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13",SOD-123F_L2.7-W1.6-LS3.8-RD,13,1N4148W,ST(先科),LCSC,C81598,0.007,2,SOD-123F_L2.7-W1.6-LS3.8-RD,lcsc,Basic Part,,,,,http://www.jinghenggroup.com/DATABOOK2010/10ZENER/MM1Z2V0THRUMM1Z120SOD123.pdf,
20,TLV2774INE4,"U6, U7",SO14,2,?,,,,,14,,SparkFun,,,,"Quad High-Slew-Rate Rail-to-Rail Output Operational Amplifier, 2.5 to 6 V, -40 to 125 degC, 14-pin DIP (N14), Pb-Free (RoHS)",,,1
21,MC7805BDTRKG,U16,TO-252-2_L6.6-W6.1-P4.57-LS9.9-TL-CW,1,MC7805BDTRKG,ON,LCSC,C110908,0.474,3,TO-252-2L-3P_L6.6-W6.1-H2.3-LS10.1-P4.6,lcsc,,,Extend,,,https://item.szlcsc.com/176608.html,
