Name,Designator,Footprint,Quantity,
220nF,"C11,C4",0805',2,
100nF,"C12,C3,C6,C7, C8,C2,C1,C9, C18,C14,C13, C20,C10",0805',13,
4.7u,"C16,C15",CAP_2.5MM,2,
10u,"C5,C17",CAP_2.5MM,2,
PJ301BM,"EXT_INPUT_2,EXT_INPUT_1",PJ301BM_3.5MM_JACK,2,
SPDT,"G$5,G$1",SUBMINI_TOGGLE,2,
TSOP34338,LED1,TSOP34338,1,
1x2 female header,"P19, P12, P10, P11, P8, P3, P5, P4, P6, P1, P2, P7",HDR-2X1/2.54,12,
expansion-bus-A,P9,Header-Male-2.54_2x7,1,
2N3904,Q1,TO-92V,1,
33K,"R10,R15",0805',2,
1K,"R12,R11,R54, R5,R48,R62,R16, R8,R17,R60,R58, R3,R21,R29,R30, R56,R23,R24, R25,R26,R27",0805',21,
2.2K,R14,0805',1,
56K,R28,0805',1,
470R,R41,0805',1,
100K,"R53,R63,R61, R18,R59,R1, R19,R57,R13, R22,R55",0805',11,
10K,"R7,R6,R9, R4,R2,R20, R31,R34,R36, R33,R32,R35",0805',12,
TL1240BQ1JCLR,SW1,KEY-TACT-DIP-7.5*7.5*8.2,1,
TLV2772IDR,U1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,
TLV2774INE4,"U10,U11",SO-14,2,
expansion-bus-B,U13,HEADER_BOX_2.54_2X5_65_32,1,
556,U27,SO-14-WIDE,1,
MIC9.7MM,U28,MIC-9.7MM,1,
CD4081BE,U3,SO-14-WIDE,1,
1x3 female header,"U36, U14, U33, U32, U31, U22, U17, U23, U15, U26, U5, U29, U4, U12, U16, U18, U30",2.54MM HEADER 1X3,17,
CD4052BE,"U8,U7,U24,U6",SO16_MIL_EZ COPY,4,
CD4520BE,U9,SO16_MIL_EZ COPY,1,
10K,"VR16,VR15,VR8",9MM_SNAP-IN_POT,3,
1M,"VR2,VR4,VR1,VR3, VR14,VR13,VR11,VR12, VR6,VR9,VR17,VR10",9MM_SNAP-IN_POT,12,
100K,"VR7,VR18,VR5",9MM_SNAP-IN_POT,3,
M3 screw 6mm,,,4,
M3 .5mm washer,,,4,
M3 10mm F-F standoff,,,4,
M3 8mm M-F standoff,,,4,
