ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,Package Display,SMT Type,description,image,link,subpart_no
1,10K,"R2, R4, R6, R7, R9, R20, R31, R32, R33, R34, R35, R36",0805,12,PTFR0805B130KN9,ResistorToday,LCSC,C351613,0.147,2,,LCSC,,,,,,
2,BC847,Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,1,2n3904S-RTK/PS,KEC,LCSC,C18536,0.013,3,SOT-23-3P_L2.9-W1.3-H1.0-LS2.4-P0.95,lcsc,,Extend,,//image.lceda.cn/szlcsc/C18536.jpg,https://item.szlcsc.com/70837.html,
3,TLV2772IDR,U1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,TLV2772IDR,TI(Tex as Instruments),LCSC,C354508,0.681,8,SOIC-8_L4.9-W3.9-H1.7-LS6.0-P1.27,87804271zpf,,,,,,1
4,TLV2774INE4,"U10, U11",SO-14,2,?,,,,,14,,,,,"Quad High-Slew-Rate Rail-to-Rail Output Operational Amplifier, 2.5 to 6 V, -40 to 125 degC, 14-pin DIP (N14), Pb-Free (RoHS)",,,1
5,SPDT,"G$1, G$5",SUBMINI_TOGGLE,2,?,,,,,3,,rossgrady,,,,,,
6,1M,"VR1, VR2, VR3, VR4, VR6, VR9, VR10, VR11, VR12, VR13, VR14, VR17",9MM_SNAP-IN_POT,12,?,,,,,5,,rossgrady,,,,,,
7,100K,"VR5, VR7, VR18",9MM_SNAP-IN_POT,3,?,,,,,5,,rossgrady,,,,,,
8,10K,"VR8, VR15, VR16",9MM_SNAP-IN_POT,3,?,,,,,5,,rossgrady,,,,,,
9,TSOP34338,LED1,TSOP34338,1,TSOP34338,VISHAY,LCSC,C142543,1.257,3,,LCSC,,,,,,
10,CV-RR-out-1,U12,2.54MM HEADER 1X3,1,2.54mm header 1x3,,,,,3,,chifai,,,,,,
11,LFO_out,"U15, U23",2.54MM HEADER 1X3,2,2.54mm header 1x3,,,,,3,,chifai,,,,,,
12,volts_1_out,U16,2.54MM HEADER 1X3,1,2.54mm header 1x3,,,,,3,,chifai,,,,,,
13,volts_2_out,U18,2.54MM HEADER 1X3,1,2.54mm header 1x3,,,,,3,,chifai,,,,,,
14,AND-in-1,P19,HDR-2X1/2.54,1,Headers  Pins 1*2P,ReliaPro,LCSC,undefined,,2,,Amit Das,,,,http://image.lceda.cn/szlcsc/C59481.jpg,,
15,AND-in-2,P1,HDR-2X1/2.54,1,Headers  Pins 1*2P,ReliaPro,LCSC,undefined,,2,,Amit Das,,,,http://image.lceda.cn/szlcsc/C59481.jpg,,
16,AND-in-3,P2,HDR-2X1/2.54,1,Headers  Pins 1*2P,ReliaPro,LCSC,undefined,,2,,Amit Das,,,,http://image.lceda.cn/szlcsc/C59481.jpg,,
